

Algoritmos Geneticos
========== =========

1) Rastrigin
2) Quadratic
3) Rosenbrock
4) Schwefel
Selecione a funcao a minimizar : Total de individuos da populacao : Total de geracoes a evoluir : Probabilidade de mutacao : 
#	x_1		x_2		f(x_1, x_2)                             diversidade

0	762.850647    1.000000
1	759.437012    0.997012
2	748.622253    0.994278
3	742.001404    0.991604
4	729.019470    0.991714
5	675.442261    0.990405
6	685.892090    0.990385
7	686.604736    0.985778
8	664.041504    0.983977
9	659.373291    0.985575
10	665.574768    0.982573
11	711.514404    0.981211
12	671.691589    0.978117
13	653.970886    0.972275
14	668.476563    0.968570
15	678.401917    0.967727
16	613.470459    0.973197
17	613.470459    0.970544
18	613.470459    0.967643
19	647.504883    0.974961
20	603.437012    0.976182
21	612.984558    0.976383
22	635.188232    0.972008
23	640.633057    0.973036
24	637.961731    0.966573
25	621.352844    0.967058
26	621.352844    0.965635
27	585.594727    0.968805
28	585.594727    0.964197
29	614.784302    0.970390
30	651.988525    0.965589
31	613.137390    0.963677
32	584.071106    0.957149
33	608.055298    0.962042
34	608.055298    0.960707
35	608.055298    0.960805
36	608.055298    0.955911
37	598.294800    0.952400
38	579.360474    0.957268
39	550.413452    0.950102
40	550.413452    0.955680
41	580.836182    0.947648
42	586.730957    0.947677
43	596.843018    0.953863
44	568.779907    0.951368
45	554.132141    0.944853
46	547.360168    0.944687
47	547.360168    0.942422
48	567.019775    0.943265
49	535.366821    0.941798
50	554.665527    0.939810
51	558.676147    0.943528
52	519.248535    0.944407
53	480.510071    0.938012
54	480.510071    0.935631
55	480.510071    0.932553
56	488.982971    0.933983
57	518.324219    0.928358
58	491.054504    0.929437
59	488.982971    0.930793
60	488.982971    0.926144
61	491.054504    0.929614
62	512.528381    0.925372
63	473.737183    0.917528
64	445.767242    0.913768
65	473.737183    0.914189
66	463.054871    0.916390
67	457.085602    0.921616
68	457.085602    0.923492
69	466.144073    0.924205
70	466.144073    0.917187
71	472.612732    0.917967
72	467.688293    0.916689
73	471.516907    0.913050
74	443.011230    0.916589
75	446.971130    0.914823
76	466.051605    0.913419
77	434.775116    0.912219
78	467.732056    0.913350
79	460.412292    0.907590
80	463.724823    0.901714
81	463.724823    0.907250
82	463.724823    0.910541
83	438.580566    0.907212
84	469.274292    0.901536
85	469.274292    0.899912
86	477.120972    0.901671
87	453.188629    0.900015
88	453.188629    0.898407
89	434.986023    0.905774
90	437.962891    0.900883
91	449.771606    0.897059
92	416.898804    0.895049
93	416.898804    0.891767
94	423.655762    0.889542
95	416.898804    0.891875
96	394.843140    0.884318
97	431.684937    0.885235
98	418.121155    0.891542
99	413.391663    0.883434
100	425.178619    0.887089
101	425.178619    0.883421
102	439.595154    0.883498
103	431.304108    0.880038
104	429.655182    0.885251
105	415.483307    0.877643
106	405.655426    0.878579
107	389.640900    0.875695
108	426.730927    0.878826
109	427.531982    0.874644
110	415.663055    0.875951
111	402.079010    0.876733
112	414.371124    0.877751
113	383.892670    0.869702
114	409.766174    0.872384
115	408.476715    0.860638
116	408.476715    0.866329
117	385.930756    0.865526
118	401.762177    0.861717
119	401.762177    0.857562
120	384.158234    0.865441
121	362.553650    0.856017
122	362.553650    0.857459
123	362.553650    0.853609
124	388.094971    0.858217
125	379.005310    0.857599
126	398.467865    0.863055
127	355.843292    0.860799
128	352.962646    0.859026
129	351.818939    0.851968
130	366.007446    0.855480
131	365.348389    0.853380
132	357.814514    0.851647
133	357.814514    0.844369
134	355.941681    0.852293
135	375.722565    0.854857
136	361.063782    0.853142
137	340.563843    0.851080
138	340.563843    0.846666
139	340.563843    0.846685
140	340.563843    0.839282
141	332.109589    0.840491
142	332.109589    0.842627
143	341.179199    0.835322
144	341.179199    0.839283
145	357.621216    0.834590
146	357.621674    0.835450
147	339.104614    0.832945
148	328.039215    0.834449
149	328.039215    0.828049
150	334.953278    0.832255
151	309.725006    0.835789
152	333.716644    0.836421
153	326.095703    0.831874
154	304.755981    0.832189
155	334.749023    0.825231
156	334.749023    0.825507
157	343.446442    0.824153
158	306.146820    0.826351
159	311.665802    0.821081
160	303.727661    0.817329
161	307.721252    0.824589
162	311.602875    0.821308
163	311.602875    0.821220
164	315.915924    0.818101
165	315.915924    0.813230
